name,zip code,timestamp
xx,,2013-05-10 03:52:26
18,,2013-05-10 03:44:48
tj,,2013-05-10 03:40:45
yx,,2013-05-10 03:40:43
TS,,2013-05-10 03:37:12
yc,11372,2013-05-10 03:28:36
sy,810000,2013-05-10 03:26:19
XP,510635,2013-05-10 03:23:44
ls,59595,2013-05-10 03:20:37
vv,,2013-05-10 03:20:17
ZW,,2013-05-10 03:19:57
xx,,2013-05-10 03:18:20
JL,,2013-05-10 03:17:50
yc,,2013-05-10 03:15:08
bL,,2013-05-10 03:14:37
RS,48823,2013-05-10 03:12:48
sc,,2013-05-10 03:12:34
bh,266101,2013-05-10 03:11:17
ZC,,2013-05-10 03:09:56
mc,,2013-05-10 03:05:07
te,,2013-05-10 03:05:07
Yc,,2013-05-10 03:04:44
ss,,2013-05-10 03:03:02
RM,,2013-05-10 02:59:31
kj,,2013-05-10 02:59:04
KM,,2013-05-10 02:57:34
xx,,2013-05-10 02:56:13
wt,,2013-05-10 02:55:38
KF,110004,2013-05-10 02:54:47
cb,,2013-05-10 02:54:13
fx,,2013-05-10 02:54:09
ch,,2013-05-10 02:52:13
jy,,2013-05-10 02:49:55
sz,,2013-05-10 02:48:08
FZ,,2013-05-10 02:42:35
xx,110005,2013-05-10 02:41:19
ML,,2013-05-10 02:40:51
SW,,2013-05-10 02:38:24
yz,01002,2013-05-10 02:37:23
GR,95051,2013-05-10 02:36:42
qt,,2013-05-10 02:35:49
DC,53593,2013-05-10 02:34:53
cx,,2013-05-10 02:31:08
TX,317606,2013-05-10 02:30:52
xx,259316,2013-05-10 02:29:52
PH,,2013-05-10 02:28:23
QJ,,2013-05-10 02:27:28
fw,201908,2013-05-10 02:27:11
jL,,2013-05-10 02:21:32
zt,110010,2013-05-10 02:21:26
WJ,,2013-05-10 02:21:20
kl,,2013-05-10 02:19:11
xT,,2013-05-10 02:18:37
ml,,2013-05-10 02:18:36
yy,,2013-05-10 02:17:02
GG,,2013-05-10 02:15:03
LC,21049,2013-05-10 02:14:32
Lr,,2013-05-10 02:12:06
cb,100000,2013-05-10 02:10:17
HH,99141,2013-05-10 02:09:42
AJ,,2013-05-10 02:09:37
HK,,2013-05-10 02:08:09
zx,7788414,2013-05-10 02:07:52
ZL,,2013-05-10 02:06:56
gk,,2013-05-10 02:06:12
LF,100010,2013-05-10 02:05:44
dc,63130,2013-05-10 02:05:20
hz,,2013-05-10 02:02:45
DW,01002,2013-05-10 02:01:34
DD,,2013-05-10 02:00:14
lw,,2013-05-10 01:58:13
HD,,2013-05-10 01:56:12
xx,,2013-05-10 01:54:41
xx,,2013-05-10 01:53:55
JG,,2013-05-10 01:53:30
lb,,2013-05-10 01:49:26
la,,2013-05-10 01:48:56
GS,,2013-05-10 01:48:56
hy,201206,2013-05-10 01:45:25
al,,2013-05-10 01:42:48
ML,,2013-05-10 01:42:20
xm,,2013-05-10 01:39:51
jb,,2013-05-10 01:39:50
XH,19311,2013-05-10 01:39:43
RY,,2013-05-10 01:39:16
Kz,200000,2013-05-10 01:38:38
lp,,2013-05-10 01:37:19
DT,,2013-05-10 01:36:00
MY,113093chen,2013-05-10 01:35:19
lz,,2013-05-10 01:32:35
ly,,2013-05-10 01:31:02
EG,12201,2013-05-10 01:26:59
Bl,237192,2013-05-10 01:25:12
pl,,2013-05-10 01:24:48
RN,,2013-05-10 01:22:14
ow,,2013-05-10 01:21:09
mj,,2013-05-10 01:20:40
NB,,2013-05-10 01:20:32
CZ,200001,2013-05-10 01:20:28
SD,,2013-05-10 01:18:54
wl,wangli2499,2013-05-10 01:16:44
SW,,2013-05-10 01:10:24
BW,150030,2013-05-10 01:08:26
DG,48316,2013-05-10 01:07:29
DS,,2013-05-10 01:06:41
ss,,2013-05-10 01:02:02
vz,315100,2013-05-10 00:52:57
MC,,2013-05-10 00:52:17
xz,,2013-05-10 00:50:37
xx,,2013-05-10 00:50:05
sg,,2013-05-10 00:48:59
xx,,2013-05-10 00:48:23
QH,,2013-05-10 00:47:31
KY,,2013-05-10 00:45:54
yr,200011,2013-05-10 00:36:55
rr,,2013-05-10 00:28:34
xx,,2013-05-10 00:26:41
CC,,2013-05-10 00:16:36
AH,,2013-05-10 00:16:11
LH,,2013-05-10 00:13:10
WY,,2013-05-10 00:13:04
xx,,2013-05-10 00:09:26
MW,M1W3Z2,2013-05-09 23:58:09
xx,32147,2013-05-09 23:46:55
xx,,2013-05-09 23:43:40
JY,38632,2013-05-09 23:32:05
VM,,2013-05-09 23:21:48
SL,,2013-05-09 23:01:00
SP,,2013-05-09 22:51:57
LZ,10541,2013-05-09 22:50:42
GL,,2013-05-09 22:43:26
cw,30753,2013-05-09 22:35:43
ZL,,2013-05-09 22:33:32
FL,,2013-05-09 22:29:56
JS,,2013-05-09 22:28:52
BS,,2013-05-09 22:21:36
DZ,,2013-05-09 22:00:31
JL,310000,2013-05-09 21:34:06
jn,,2013-05-09 21:29:57
yl,,2013-05-09 21:26:29
FG,02145,2013-05-09 20:43:21
XL,N2J 2Z2,2013-05-09 20:42:46
wb,,2013-05-09 20:40:29
AF,,2013-05-09 20:36:21
RH,,2013-05-09 20:31:53
fl,53233,2013-05-09 20:31:29
BG,90270,2013-05-09 20:25:45
MZ,49931,2013-05-09 20:21:34
Al,h4b2e6,2013-05-09 19:50:25
FN,freja,2013-05-09 19:38:39
mw,,2013-05-09 19:31:29
TR,44115,2013-05-09 19:28:53
JM,55414,2013-05-09 19:26:38
JY,V6Y 4M1,2013-05-09 19:04:45
MX,,2013-05-09 18:53:06
BZ,,2013-05-09 18:48:48
cc,,2013-05-09 18:44:47
DH,,2013-05-09 18:44:31
JW,65775,2013-05-09 18:40:06
sc,198510258,2013-05-09 18:34:41
WG,,2013-05-09 18:34:37
8z,518053,2013-05-09 18:30:42
WT,2720,2013-05-09 18:27:11
FH,44304,2013-05-09 18:25:45
CW,55454,2013-05-09 18:25:35
DD,NY14304,2013-05-09 18:21:40
yf,,2013-05-09 18:14:45
SC,90007,2013-05-09 17:56:08
BL,23452,2013-05-09 17:29:42
WT,,2013-05-09 17:28:55
LZ,,2013-05-09 17:28:46
SW,,2013-05-09 17:25:14
er,91352,2013-05-09 17:15:38
LZ,,2013-05-09 17:13:47
cW,H100,2013-05-09 17:12:40
DQ,60616,2013-05-09 17:10:51
sq,12201,2013-05-09 17:10:06
LC,,2013-05-09 17:09:44
DC,,2013-05-09 17:08:26
HH,"Toronto, CA",2013-05-09 17:07:08
CS,,2013-05-09 16:56:25
TE,M5A 2C9,2013-05-09 16:55:05
DC,,2013-05-09 16:47:55
xx,,2013-05-09 16:45:12
XH,11790,2013-05-09 16:41:33
xx,,2013-05-09 16:40:37
EZ,230000,2013-05-09 16:38:01
MH,,2013-05-09 16:37:47
hw,,2013-05-09 16:37:41
YG,210008,2013-05-09 16:36:20
LJ,,2013-05-09 16:35:15
tk,,2013-05-09 16:33:18
jl,11228,2013-05-09 16:24:43
BY,,2013-05-09 16:21:07
HM,20176,2013-05-09 16:20:06
pz,,2013-05-09 16:18:56
CT,,2013-05-09 16:17:22
zs,07029,2013-05-09 16:17:18
yc,455000,2013-05-09 16:16:05
ZP,4200000,2013-05-09 16:15:28
ly,,2013-05-09 16:15:25
HT,,2013-05-09 16:15:12
gg,,2013-05-09 16:12:38
BY,21231,2013-05-09 16:11:08
qx,,2013-05-09 16:00:32
HN,92116,2013-05-09 16:00:12
lh,230036,2013-05-09 16:00:01
EK,90266,2013-05-09 15:57:13
xx,545007,2013-05-09 15:56:08
jz,zzh19751106,2013-05-09 15:52:03
RH,,2013-05-09 15:51:42
ly,,2013-05-09 15:48:17
LZ,,2013-05-09 15:47:05
CW,441107,2013-05-09 15:46:40
wd,201200,2013-05-09 15:46:20
CR,517688,2013-05-09 15:46:02
lx,,2013-05-09 15:42:21
RZ,,2013-05-09 15:42:18
YZ,05158,2013-05-09 15:41:59
NW,,2013-05-09 15:39:48
xx,,2013-05-09 15:35:34
YC,43402,2013-05-09 15:32:30
ww,,2013-05-09 15:32:01
co,,2013-05-09 15:31:00
xx,210030,2013-05-09 15:28:53
ll,,2013-05-09 15:26:43
EM,,2013-05-09 15:26:17
AT,,2013-05-09 15:26:00
xx,,2013-05-09 15:25:27
HM,,2013-05-09 15:24:30
zz,,2013-05-09 15:23:24
cc,100098,2013-05-09 15:22:56
LG,,2013-05-09 15:21:06
EC,,2013-05-09 15:20:22
xx,i am a chinese,2013-05-09 15:19:30
cp,,2013-05-09 15:15:48
MH,,2013-05-09 15:14:10
dl,,2013-05-09 15:12:54
HC,11355,2013-05-09 15:12:14
VH,,2013-05-09 15:10:50
zx,213000,2013-05-09 15:10:35
zl,,2013-05-09 15:09:34
WX,11788,2013-05-09 15:08:17
ss,,2013-05-09 15:08:00
so,34695,2013-05-09 15:06:12
qq,,2013-05-09 15:05:39
KM,33527,2013-05-09 15:04:37
JL,,2013-05-09 15:04:11
wA,,2013-05-09 15:03:34
lj,,2013-05-09 15:01:58
KF,,2013-05-09 15:00:37
JH,,2013-05-09 14:59:45
xx,,2013-05-09 14:59:20
tm,,2013-05-09 14:59:00
jj,,2013-05-09 14:58:38
BB,,2013-05-09 14:58:21
jw,,2013-05-09 14:57:33
s0,fuyoki,2013-05-09 14:55:55
NP,,2013-05-09 14:55:46
